113012-421001                   	管理费归集项目（光纤传感研究中心）
115004-421001                   	管理费归集项目（网络健康大数据研究中心）
102000-212008                   	年度贡献奖团队及先进部门（研究中心）奖励经费卡号
121007-4TW2102                  	标准国际化
115004-UA2011SJ                 	PET/CT肺部肿瘤检测中柔性配准技术研究与应用
115004-UA2012SJ                 	快速超低剂量PET图像重建深度学习算法
115004-UA2009SJ                 	基于多维时序表征识别的血液透析并发症长期风险预测方法研究
113011-UA2003QJ                 	毫米波雷达应用于水气界面通信的相关研究
113011-UA2001QJ                 	高分辨率毫米波雷达系统研究
113011-UA2001SJ                 	高分辨率毫米波雷达系统研究
111006-BB2101PT                 	基于混合器件的大规模神经形态芯片架构设计
113004-ZK1902                   	基于超快速测试的锗沟道晶体管偏压温度不稳定性的机理研究
115002-UB2103SJ                 	Multimodal based Active Speaker and Addressee Detection in Multi-Party Human-Robot Interaction
113011-KB2101                   	无源有源芯片单片集成技术-BAW无源有源异质异构单片集成技术研究
112003-DB1901                   	★工业互联网创新发展专项-supET工业互联网平台试验测试环境建设
111008-UA2003SJ                 	智能边缘设备的模型压缩技术研究
112003-UA2005SJ                 	全维可定义多模态网络寻址路由关键技术研究
112004-UA2007SJ                 	基于MEC的C-V2X多维度资源适配技术研究
112004-UA2008SJ                 	智能超表面辅助通信系统谱效/能效分析与联和优化研究
112004-UA2009SJ                 	车联网通信关键技术及标准化工作研究
113009-UA2007SJ                 	SERF超高灵敏极弱磁测量中的原子极化率测量与控制方法研究
113009-UA2008SJ                 	高精度激光调制系统研究
113010-UA2013SJ                 	用于内窥镜在体位姿感知的光纤光栅传感器研究
113010-UA2014SJ                 	用于室内三维场景重建的深度相机解决方案研究
113010-UA2015SJ                 	聚合物涂层改性微纳光纤pH传感器研究
113010-UA2016SJ                 	高吸收截面双光子聚合引发剂的结构设计、合成及其性质研究
113010-UA2017SJ                 	基于电致OLED照明移频超分辨芯片研究
113011-UA2005SJ                 	“人-机-物”融合视角下的流动人口治理模式创新研究
115002-UA2013SJ                 	深海软体机器人建模、设计及实验研究
115002-UA2014SJ                 	分布式倾转多旋翼飞行器的倾转控制策略研究
115004-UA2007SJ                 	基于U-NET网络的核医学心脏图像分割方法的研究与应用
121007-TW2101                   	1项行业标准制修订项目计划研制工作
115004-UA2010SJ                 	基于异构临床数据的重症疾病实时预后预测方法
113012-TC2001                   	智能声学传感系统
115014-540402                   	智能计算基础理论研究中心—日常运行经费
111007-AA2001                   	★基于高帧率单摄像头的无袖连续血压监测方法研究
113010-PI2102                   	PI科研启动经费（基于手性二维碲多维智能微纳感知系统研究）
111008-AB1902                   	复杂“学习”事件大数据分析与预测-大学生个性化学习过程优化关键技术研究与开发
111008-AB1903                   	基于多模态数据融合的城市复杂事件预测与分析技术研究
115011-AB2001                   	智慧社会发展指数构建研究
115008-AJ2102                   	数字贸易标准体系研究
100000-900101                   	科研暂付
112004-PI2002                   	★PI科研启动经费（非地面与5G及B5G地面融合通信网络空口关键技术研究）
111008-AA2002                   	★海量高维数据的可视化叙事研究
111008-AB2001                   	边缘深度学习分布式协同调度架构及并行处理方法研究
112003-AA2002                   	★基于时间迭代的多模裁决算法及度量方法研究
111008-AB1904                   	基于多通道多模态大数据的复杂舆情事件分析与预测研究
111008-AB2002                   	面向边缘智能的资源能力评价方法研究
111008-AB2003                   	基于区块链的跨域数据安全共享与协同建模机制
111008-AB2004                   	多链下的高效共识算法关键技术研究
113011-AA2001                   	面向物联网安全的新沟道器件真随机数发生器的研究
113010-AA2003                   	★基于量子受限斯塔克效应的片上单像素光谱测量研究
115002-AA2001                   	★惯性导航组件隔振系统的优化设计
115002-PI2101                   	腿足机器人智能控制探索
112004-AB1901                   	5G网络切片智能管理
112004-AB1902                   	智能反射表面辅助无线通信理论与技术研究
112004-AB1903                   	可编程太赫兹波束多参量控制技术及器件
